"WBIC","surveyYear","PE","Density"
2390800,2000,5182,1.028378647
2390800,2001,7526,1.493550308
2390800,2010,5611,1.113514586
2390800,2016,7230,1.434808494
1631900,1986,22564,5.24744186
1631900,1990,12635,2.938372093
1631900,1996,8201,1.907209302
1631900,1997,6233,1.449534884
1631900,2000,11968,2.783255814
1631900,2006,10505,2.443023256
376900,2002,1214,5.699530516
376900,2012,1548,7.267605634
376900,2014,1300,6.103286385
2678100,2004,245,0.623409669
2678100,2016,111,0.282442748
1545300,2007,4360,8.164794007
1545300,2013,751,1.406367041
1610600,1994,2801,7.912429379
2332300,2016,3334,20.08433735
1596300,1997,2212,2.257142857
2334300,2004,232,0.950819672
1602300,1989,1867,2.141055046
2106800,1990,7555,2.296352584
2106800,1991,5787,1.758966565
2106800,1994,10238,3.111854103
1609000,1994,861,1.388709677
2351400,1994,4909,4.66634981
2351400,2000,5397,5.130228137
2106800,2001,4966,1.509422492
1602300,2001,6650,7.626146789
2351400,2008,7083,6.732889734
2106800,2009,6915,2.101823708
2106800,2012,5773,1.754711246
2106800,2015,8481,2.57781155
2351400,2016,3545,3.369771863
2339800,1994,1100,4.417670683
2418600,1990,792,0.607361963
2418600,2000,563,0.431748466
2418600,2004,698,0.535276074
2741600,1991,1752,2.184538653
2741600,1993,3006,3.748129676
2741600,1995,2036,2.538653367
2741600,2001,3821,4.764339152
2741600,2007,1994,2.486284289
2741600,2011,1714,2.137157107
2741600,2016,461,0.574812968
2856400,1992,1764,4.377171216
2954500,1994,473,1.395280236
2964100,2008,4439,11.0975
2964100,2014,4039,10.0975
2329400,1993,508,1.003952569
2329400,1999,1028,2.031620553
2329400,2004,712,1.407114625
2742100,1991,4185,4.639689579
2742100,1993,4577,5.074279379
2742100,1996,5258,5.829268293
2742100,1998,4099,4.544345898
2742100,2004,4128,4.576496674
2742100,2007,5925,6.568736142
2742100,2010,2081,2.307095344
2742100,2013,2169,2.404656319
2742100,2016,852,0.944567627
2706500,1990,1110,2.094339623
2706500,2003,587,1.10754717
1542400,1992,7638,5.616176471
1542400,1998,6276,4.614705882
1542400,2009,2764,2.032352941
2692900,1988,12797,8.182225064
1595600,2009,376,1.323943662
2310400,1991,3018,8.178861789
1623800,1986,5854,2.099713056
1623800,1991,6310,2.263271162
1623800,1996,11478,4.116929699
1623800,1998,4070,1.459827834
1623800,2002,4736,1.698708752
1623800,2007,8478,3.040889527
2732600,2002,16450,5.097613883
2704200,1992,36394,14.54015182
2704200,1998,11925,4.764282861
387200,2009,342,4.120481928
2954800,1994,2320,4.540117417
2954800,2008,2238,4.37964775
2954800,2014,2646,5.178082192
2962900,1992,412,0.648818898
2328700,1994,1306,3.051401869
2328700,2004,1187,2.773364486
2328700,2012,1031,2.408878505
653700,2000,649,2.545098039
653700,2004,584,2.290196078
653700,2011,250,0.980392157
653700,2016,503,1.97254902
1579900,1985,15416,4.30013947
1579900,1990,10684,2.980195258
1579900,1998,10229,2.853277545
1579900,2001,10112,2.820641562
1579900,2007,10094,2.815620642
1579900,2011,8632,2.407810321
1579900,2016,18147,5.061924686
2268300,2005,2321,2.879652605
2268300,2012,1267,1.571960298
2949200,2008,2752,8.820512821
2949200,2014,2064,6.615384615
2490500,2015,197,0.693661972
1609100,1994,2064,2.039525692
1592400,1986,1560,1.510164569
1592400,1990,2068,2.001936108
1592400,1995,3964,3.837366893
1592400,2000,3884,3.759922556
1592400,2003,5674,5.492739593
1592400,2006,4490,4.346563408
1592400,2009,4964,4.805421104
1592400,2012,3176,3.074540174
1592400,2015,2899,2.806389158
2956500,1990,3452,2.696875
2956500,1998,1958,1.5296875
2956500,2005,1934,1.5109375
1595300,1990,8745,4.297297297
1595300,1998,8114,3.987223587
1595300,2012,6768,3.325798526
1013800,1999,2369,6.544198895
1013800,2014,3082,8.513812155
2109600,2005,3733,2.027702336
2109600,2010,4542,2.467137425
2109600,2016,7777,4.224334601
2327500,1999,1867,3.070723684
2327500,2004,1994,3.279605263
1469100,1998,2127,6.646875
378400,1993,2466,5.956521739
378400,2002,1084,2.618357488
378400,2010,1831,4.422705314
494200,2004,803,7.169642857
2395600,1989,10130,3.316961362
2395600,1991,9618,3.149312377
1610400,1994,126,0.84
2267800,1998,3658,5.038567493
2395600,1998,6399,2.095284872
2395600,2003,4039,1.322527832
2267800,2005,3522,4.851239669
2395600,2010,2541,0.832023576
2267800,2012,1639,2.257575758
2395600,2015,3672,1.202357564
1623700,1991,27,0.042056075
1623700,1998,937,1.459501558
1623700,2002,1091,1.699376947
2495100,1988,768,0.798336798
1597000,1990,1803,3.338888889
2661100,1992,332,1.031055901
1597000,1997,1166,2.159259259
1597000,2005,2038,3.774074074
2393200,2007,2639,2.84375
2393200,2012,7850,8.459051724
2393200,2017,1516,1.63362069
2335300,2016,190,2.159090909
1605800,1992,2444,4.858846918
1605800,1997,1342,2.667992048
2496300,1991,3900,1.511627907
2496300,1992,4128,1.6
2496300,1994,2704,1.048062016
2496300,2009,4948,1.917829457
2496300,2013,1490,0.57751938
1880700,1993,722,5.869918699
1880700,1994,879,7.146341463
1880700,1995,800,6.504065041
1880700,1996,538,4.37398374
1880700,1999,671,5.455284553
1880700,2000,368,2.991869919
1880700,2001,301,2.447154472
1880700,2002,388,3.154471545
1880700,2003,580,4.715447154
1880700,2004,128,1.040650407
1880700,2005,227,1.845528455
1880700,2006,299,2.430894309
1880700,2007,199,1.617886179
1880700,2008,543,4.414634146
1880700,2009,366,2.975609756
1880700,2010,515,4.18699187
1880700,2011,329,2.674796748
1880700,2012,233,1.894308943
1880700,2013,434,3.528455285
1880700,2014,352,2.861788618
1880700,2015,418,3.398373984
1880700,2016,272,2.211382114
1880700,2017,396,3.219512195
1881100,2009,588,1.744807122
2882300,1995,905,2.742424242
2882300,1997,1443,4.372727273
2882300,1998,3569,10.81515152
2882300,1999,1574,4.76969697
2882300,2000,2195,6.651515152
2882300,2002,1842,5.581818182
2882300,2003,964,2.921212121
2882300,2004,897,2.718181818
2882300,2005,699,2.118181818
2882300,2006,988,2.993939394
2882300,2007,818,2.478787879
2882300,2008,856,2.593939394
2882300,2009,1034,3.133333333
2882300,2010,583,1.766666667
2882300,2011,387,1.172727273
2882300,2012,991,3.003030303
2882300,2013,886,2.684848485
2882300,2015,1995,6.045454545
2882300,2017,1803,5.463636364
2393500,2006,2651,3.687065369
2393500,2010,1752,2.436717663
2726100,1993,621,1.922600619
1018500,2009,626,2.619246862
2242500,1994,4554,5.301513388
1547700,2006,829,1.756355932
1881900,2012,285,1.850649351
2306300,2013,473,1.34375
2936200,2007,386,5.146666667
1506800,1986,3056,1.836538462
1506800,2005,4751,2.855168269
1019500,1991,2003,5.058080808
1019500,2009,809,2.042929293
1019500,2016,305,0.77020202
2271600,1992,4488,5.717197452
2271600,1993,2654,3.38089172
2271600,1994,2948,3.755414013
2271600,1995,2975,3.789808917
2271600,1996,3129,3.985987261
2271600,1998,3401,4.332484076
2271600,2000,3005,3.828025478
2271600,2001,2751,3.504458599
2271600,2002,2239,2.852229299
2271600,2006,4256,5.421656051
2271600,2007,3947,5.028025478
2271600,2009,2608,3.322292994
2271600,2012,3809,4.852229299
2271600,2013,2397,3.053503185
1536300,1986,10646,8.083523159
1536300,1990,6544,4.968868641
1536300,1991,7292,5.53682612
1536300,1992,7500,5.69476082
1536300,1994,7562,5.741837509
1536300,1995,8356,6.344722855
1536300,1996,8610,6.537585421
1536300,1997,8482,6.440394837
1536300,1998,7164,5.439635535
1536300,1999,7079,5.375094913
1536300,2000,5485,4.164768413
1536300,2001,7679,5.830675778
1536300,2002,7880,5.983295368
1536300,2003,5324,4.042520881
1536300,2005,5249,3.985573273
1536300,2006,6957,5.282460137
1536300,2007,9244,7.018982536
1536300,2008,5388,4.091116173
1536300,2009,6304,4.786636295
1536300,2010,5107,3.877752468
1536300,2011,5732,4.352315869
1536300,2012,3352,2.545178436
1536300,2013,3445,2.61579347
1536300,2014,4920,3.735763098
1536300,2015,5207,3.953682612
1536300,2016,3958,3.00531511
1536300,2017,4584,3.480637813
1593100,1986,4713,3.907960199
1593100,1987,3366,2.791044776
1593100,1996,4075,3.37893864
1593100,1997,5474,4.538971808
1593100,2005,4295,3.561359867
1593100,2011,4622,3.832504146
1593100,2016,2759,2.287728027
1884100,2010,458,0.875717017
1589600,1988,277,1.481283422
2417000,1990,4645,4.428026692
2417000,2004,5521,5.263107722
2962400,1995,2719,6.221967963
1542700,1992,8175,2.410082547
1542700,1998,8125,2.395341981
1542700,2000,4857,1.431898585
1542700,2002,8281,2.441332547
1542700,2004,7492,2.208726415
2331600,1994,9673,2.534853249
2331600,1997,8156,2.137316562
2331600,2000,8994,2.356918239
2331600,2001,7788,2.040880503
2331600,2003,7392,1.937106918
2331600,2004,6520,1.708595388
2331600,2007,11905,3.11975891
2331600,2010,5759,1.509171908
2331600,2013,10016,2.624737945
2331600,2016,6127,1.605607966
2295200,1992,3920,5.019206146
2295200,2009,4437,5.681177977
2295200,2016,1818,2.327784891
2268500,1991,1680,11.27516779
2294900,1997,54771,4.043632337
2294900,2009,54208,4.002067183
2294900,2016,36855,2.720930233
2903100,1991,728,4.23255814
2903100,2001,1029,5.98255814
2903100,2010,350,2.034883721
1588200,1988,1487,2.068150209
1588200,1992,2245,3.122392211
1588200,2002,2714,3.774687065
1588200,2005,2004,2.787204451
1588200,2008,1976,2.748261474
1588200,2011,995,1.383866481
